Target name,HGNC symbol,Has_Biased_Agonist,Clinical_Potential,Indications,Indication_Needs,Suggested_Program
GPR3,GPR3,Not known,"Yes, GPR3 has been implicated in several diseases including Alzheimer's disease, obesity, and ovarian cancer. However, more research is needed to fully understand its role and potential as a therapeutic target.","Alzheimer's disease, Obesity, Ovarian cancer","{""Alzheimer's disease"": ""Yes, there is a need for new therapeutic targets in Alzheimer's disease as current treatments only manage symptoms and do not halt disease progression."", ""Obesity"": ""Yes, obesity is a global health issue and there is a need for new therapeutic targets to help manage and treat this condition."", ""Ovarian cancer"": ""Yes, ovarian cancer is a deadly disease with a high mortality rate. There is a need for new therapeutic targets to improve survival rates.""}","{""Alzheimer's disease"": ""Drug discovery approach focusing on the role of GPR3 in amyloid-beta production, a key factor in Alzheimer's disease pathogenesis."", ""Obesity"": ""Drug discovery approach focusing on the role of GPR3 in lipid metabolism and energy homeostasis."", ""Ovarian cancer"": ""Drug discovery approach focusing on the role of GPR3 in cancer cell proliferation and survival.""}"
GPR4,GPR4,Not known,"Yes, GPR4 has been implicated in several diseases such as cancer, inflammation, and cardiovascular diseases. However, more research is needed to fully understand its role and potential as a therapeutic target.","Cancer, Inflammation, Cardiovascular diseases","{""Cancer"": ""Yes, GPR4 has been shown to be overexpressed in several types of cancer and may play a role in tumor progression. However, more research is needed to fully understand its role and potential as a therapeutic target."", ""Inflammation"": ""Yes, GPR4 has been implicated in the regulation of inflammatory responses. However, more research is needed to fully understand its role and potential as a therapeutic target."", ""Cardiovascular diseases"": ""Yes, GPR4 has been implicated in the regulation of cardiovascular function. However, more research is needed to fully understand its role and potential as a therapeutic target.""}","{""Cancer"": ""Drug discovery approach would involve identifying and developing selective GPR4 antagonists or agonists, depending on the role of GPR4 in specific types of cancer."", ""Inflammation"": ""Drug discovery approach would involve identifying and developing selective GPR4 antagonists or agonists, depending on the role of GPR4 in specific inflammatory conditions."", ""Cardiovascular diseases"": ""Drug discovery approach would involve identifying and developing selective GPR4 antagonists or agonists, depending on the role of GPR4 in specific cardiovascular diseases.""}"
GPR42,GPR42,Not known,Not known,,{},{}
GPR6,GPR6,Not known,"Yes, GPR6 is associated with several neurological disorders including Parkinson's disease, schizophrenia, and bipolar disorder. However, more research is needed to fully understand its role and therapeutic potential.","Parkinson's disease, Schizophrenia, Bipolar disorder","{""Parkinson's disease"": ""Yes, there is a need for more effective treatments with fewer side effects."", ""Schizophrenia"": ""Yes, current treatments are not effective for all patients and can have significant side effects."", ""Bipolar disorder"": ""Yes, current treatments can have significant side effects and do not effectively manage all symptoms.""}","{""Parkinson's disease"": ""Drug discovery program focused on developing GPR6 agonists or antagonists, depending on the role of GPR6 in the disease."", ""Schizophrenia"": ""Drug discovery program focused on developing GPR6 modulators, as the role of GPR6 in schizophrenia is not fully understood."", ""Bipolar disorder"": ""Drug discovery program focused on developing GPR6 modulators, as the role of GPR6 in bipolar disorder is not fully understood.""}"
GPR12,GPR12,Not known,Not known,,{},{}
GPR15,GPR15,Not known,"Yes, GPR15 is expressed in various tissues including the colon and lungs, and is implicated in inflammatory diseases such as inflammatory bowel disease and asthma. Therefore, it may be a potential target for treating these conditions.","Inflammatory Bowel Disease, Asthma","{""Inflammatory Bowel Disease"": ""Yes, current treatments for inflammatory bowel disease can have serious side effects and are not effective for all patients. Targeting GPR15 could provide a new therapeutic approach."", ""Asthma"": ""Yes, current treatments for asthma are not effective for all patients and can have side effects. Targeting GPR15 could provide a new therapeutic approach.""}","{""Inflammatory Bowel Disease"": ""Drug discovery program focused on identifying and developing GPR15 antagonists."", ""Asthma"": ""Drug discovery program focused on identifying and developing GPR15 antagonists.""}"
GPR17,GPR17,Not known,"Yes, GPR17 is a potential therapeutic target for a variety of diseases, including neurodegenerative diseases, ischemic injury, and cancer. However, more research is needed to fully understand its role and potential in these contexts.","Neurodegenerative diseases, Ischemic injury, Cancer","{""Neurodegenerative diseases"": ""Yes, GPR17 has been implicated in the pathogenesis of neurodegenerative diseases, and modulation of its activity could potentially slow disease progression."", ""Ischemic injury"": ""Yes, GPR17 is thought to play a role in the response to ischemic injury, and targeting it could potentially improve outcomes."", ""Cancer"": ""Not known, the role of GPR17 in cancer is not well understood and more research is needed.""}","{""Neurodegenerative diseases"": ""Drug discovery approach focusing on the development of GPR17 agonists or antagonists."", ""Ischemic injury"": ""Drug discovery approach focusing on the development of GPR17 antagonists."", ""Cancer"": ""Further research to understand the role of GPR17 in cancer before a drug discovery approach can be suggested.""}"
GPR19,GPR19,Not known,Not known,,{},{}
GPR20,GPR20,Not known,Not known,,{},{}
GPR21,GPR21,Not known,Not known,,{},{}
GPR22,GPR22,Not known,Not known,,{},{}
GPR25,GPR25,Not known,Not known,,{},{}
GPR26,GPR26,Not known,Not known,,{},{}
GPR27,GPR27,Not known,Not known,,{},{}
GPR31,GPR31,Not known,Not known,,{},{}
GPR32,GPR32,Not known,"Yes, GPR32 is involved in the resolution of inflammation and could be a potential target for anti-inflammatory drugs. However, more research is needed to fully understand its role and potential in clinical applications.","Inflammation, Autoimmune diseases","{""Inflammation"": ""Yes, as GPR32 is involved in the resolution of inflammation, drugs targeting this receptor could potentially help in the treatment of inflammatory conditions."", ""Autoimmune diseases"": ""Yes, given the role of inflammation in autoimmune diseases, GPR32 could potentially be a target for drugs treating these conditions. However, more research is needed to confirm this.""}","{""Inflammation"": ""Drug discovery program focusing on identifying and developing biased agonists or antagonists for GPR32."", ""Autoimmune diseases"": ""Research program to further understand the role of GPR32 in autoimmune diseases and identify potential drug targets.""}"
GPR33,GPR33,Not known,Not known,,{},{}
GPR34,GPR34,Not known,Not known,,{},{}
GPR35,GPR35,Not known,"Yes, GPR35 has been implicated in several diseases including cardiovascular disease, cancer, and inflammatory diseases. However, its exact role and potential as a therapeutic target is still under investigation.","Cardiovascular disease, Cancer, Inflammatory diseases","{""Cardiovascular disease"": ""Yes, GPR35 has been shown to be involved in the regulation of cardiovascular function, suggesting potential therapeutic applications."", ""Cancer"": ""Yes, GPR35 is overexpressed in certain types of cancer, suggesting it may be a potential therapeutic target."", ""Inflammatory diseases"": ""Yes, GPR35 has been implicated in the regulation of inflammatory responses, suggesting potential therapeutic applications.""}","{""Cardiovascular disease"": ""Drug discovery program focused on developing GPR35 agonists or antagonists."", ""Cancer"": ""Drug discovery program focused on developing GPR35 inhibitors or modulators."", ""Inflammatory diseases"": ""Drug discovery program focused on developing GPR35 modulators.""}"
